"RecordIDS","AverageConsistency","Release_Date -Consistency","Release_Date -Values","Album_Genres-Consistency","Album_Genres-Values","Track_Name-Consistency","Track_Name-Values","Album_Name-Consistency","Album_Name-Values","Artists-Consistency","Artists-Values","Duration-Consistency","Duration-Values","Tempo-Consistency","Tempo-Values","Album_Type-Consistency","Album_Type-Values"
"deezer_5058+spotify_33019","0.75","0.0","{2005-12-06T00:00|2004-01-01T00:00}","1.0","{[]|[]}","1.0","{Let's Get Lifted|Let's Get Lifted}","1.0","{Get Lifted|Get Lifted}","1.0","{[john legend]|[john legend]}","1.0","{217.0|217.0}","0.0","{173.6999969482422|87.00399780273438}","1.0","{album}"
"deezer_20228+spotify_2041","0.5","0.0","{2020-07-31T00:00|2019-07-19T00:00}","0.0","{[Rap/Hip Hop]|[]}","1.0","{FIND YOUR WAY BACK|FIND YOUR WAY BACK}","0.0","{The Lion King: The Gift [Deluxe Edition]|The Lion King: The Gift}","1.0","{[beyoncé]|[beyoncé]}","1.0","{162.0|162.0}","0.0","{0.0|118.74199676513672}","1.0","{album|album}"
"deezer_4225+musico_2065+spotify_39303","0.9166666666666666","0.6666666666666666","{2009-08-28T00:00|2009-08-31T00:00|2009-08-31T00:00}","0.6666666666666666","{[]|[dance pop]|[]}","1.0","{Million Dollar Bill|Million Dollar Bill|Million Dollar Bill}","1.0","{I Look To You|I Look To You|I Look To You}","1.0","{[whitney houston]|[whitney houston]|[whitney houston]}","1.0","{204.0|204.0}","1.0","{119.80000305175781|119.89900207519531}","1.0","{album|album}"
"deezer_15571+musico_1621+spotify_38946","0.8333333333333334","0.6666666666666666","{2011-04-08T00:00|2011-04-12T00:00|2011-04-12T00:00}","0.0","{[Rock]|[alternative metal]|[]}","1.0","{Walk|Walk|Walk}","1.0","{Wasting Light|Wasting Light|Wasting Light}","1.0","{[foo fighters]|[foo fighters]|[foo fighters]}","1.0","{256.0|255.0}","1.0","{140.10000610351562|137.10699462890625}","1.0","{album|album|album}"
"musico_7273+spotify_877","0.875","1.0","{1980-01-01T00:00|1980-01-01T00:00}","0.0","{[europop]|[]}","1.0","{The Winner Takes It All|The Winner Takes It All}","1.0","{Super Trouper|Super Trouper}","1.0","{[abba]|[abba]}","1.0","{294.0}","1.0","{126.1500015258789}","1.0","{album|album}"
"musico_2773+spotify_39837","0.875","1.0","{2004-10-26T00:00|2004-10-26T00:00}","0.0","{[contemporary country]|[]}","1.0","{Nobody but Me|Nobody but Me}","1.0","{Blake Shelton's Barn & Grill|Blake Shelton's Barn & Grill}","1.0","{[blake shelton]|[blake shelton]}","1.0","{158.0}","1.0","{81.01599884033203}","1.0","{album|album}"
"musico_6908+spotify_43147","0.875","1.0","{1982-01-01T00:00|1982-01-01T00:00}","0.0","{[album rock]|[]}","1.0","{Your Love Is Driving Me Crazy|Your Love Is Driving Me Crazy}","1.0","{Three Lock Box|Three Lock Box}","1.0","{[sammy hagar]|[sammy hagar]}","1.0","{211.0}","1.0","{146.73800659179688}","1.0","{album|album}"
"deezer_55+musico_3799+spotify_40567","0.875","1.0","{1999-01-12T00:00|1999-01-12T00:00|1999-01-12T00:00}","0.0","{[Pop, International Pop, Rock]|[dance pop]|[]}","1.0","{Sometimes|Sometimes|Sometimes}","1.0","{...Baby One More Time (Digital Deluxe Version)|...Baby One More Time (Digital Deluxe Version)|...Baby One More Time (Digital Deluxe Version)}","1.0","{[britney spears]|[britney spears]|[britney spears]}","1.0","{245.0|245.0}","1.0","{95.9000015258789|95.99600219726562}","1.0","{album|album|album}"
"deezer_1754+musico_5304+spotify_12402","0.8333333333333334","0.6666666666666666","{2007-03-19T00:00|1990-01-01T00:00|1990-01-01T00:00}","0.0","{[R&B]|[funk]|[]}","1.0","{Rub You The Right Way|Rub You The Right Way|Rub You The Right Way}","1.0","{Johnny Gill|Johnny Gill|Johnny Gill}","1.0","{[johnny gill]|[johnny gill]|[johnny gill]}","1.0","{333.0|332.0}","1.0","{111.69999694824219|111.87200164794922}","1.0","{album|album|album}"
"deezer_15154+musico_928+spotify_38468","0.5833333333333333","0.0","{2015-11-06T00:00|2014-01-01T00:00|2014-05-26T00:00}","0.0","{[Pop]|[pop]|[]}","1.0","{Leave Your Lover|Leave Your Lover|Leave Your Lover}","0.6666666666666666","{In The Lonely Hour (Drowning Shadows Edition)|In The Lonely Hour|In The Lonely Hour}","1.0","{[sam smith]|[sam smith]|[sam smith]}","1.0","{188.0|188.0}","0.0","{144.10000610351562|92.87899780273438}","1.0","{album|album|album}"
"musico_1633+spotify_34039","0.875","1.0","{2010-12-01T00:00|2010-12-01T00:00}","0.0","{[neo mellow]|[]}","1.0","{Marry Me|Marry Me}","1.0","{Save Me, San Francisco (Golden Gate Edition)|Save Me, San Francisco (Golden Gate Edition)}","1.0","{[train]|[train]}","1.0","{205.0}","1.0","{87.91799926757812}","1.0","{album|album}"
"musico_3147+spotify_40113","0.875","1.0","{2004-01-01T00:00|2004-01-01T00:00}","0.0","{[dance pop]|[]}","1.0","{Just A Little While|Just A Little While}","1.0","{Damita Jo|Damita Jo}","1.0","{[janet jackson]|[janet jackson]}","1.0","{253.0}","1.0","{135.1020050048828}","1.0","{album|album}"
"musico_6330+spotify_42631","0.75","1.0","{1992-10-13T00:00|1992-10-13T00:00}","0.0","{[art rock]|[]}","1.0","{Psycho Killer|Psycho Killer}","0.0","{Popular Favorites 1976-1992: Sand In The Vaseline|Popular Favorites 1976 - 1992 / Sand in the Vaseline}","1.0","{[talking heads]|[talking heads]}","1.0","{260.0}","1.0","{123.39600372314453}","1.0","{compilation|compilation}"
"musico_1959+spotify_18748","0.75","0.0","{2009-08-07T00:00|2010-01-12T00:00}","0.0","{[reggae fusion]|[]}","1.0","{One Day|One Day}","1.0","{Light|Light}","1.0","{[matisyahu]|[matisyahu]}","1.0","{207.0}","1.0","{68.552001953125}","1.0","{album|album}"
"deezer_18068+musico_4867+spotify_41370","0.7083333333333333","0.6666666666666666","{1992-12-29T00:00|1993-01-01T00:00|1993-01-01T00:00}","0.0","{[Rap/Hip Hop]|[reggae fusion]|[]}","1.0","{Girl I've Been Hurt|Girl I've Been Hurt|Girl I've Been Hurt}","1.0","{12 Inches Of Snow|12 Inches Of Snow|12 Inches Of Snow}","1.0","{[snow]|[snow]|[snow]}","1.0","{252.0|252.0}","0.0","{182.10000610351562|90.94999694824219}","1.0","{album|album|album}"
"musico_3085+spotify_40072","0.875","1.0","{2003-09-23T00:00|2003-09-23T00:00}","0.0","{[alternative metal]|[]}","1.0","{Figured You Out|Figured You Out}","1.0","{The Long Road|The Long Road}","1.0","{[nickelback]|[nickelback]}","1.0","{228.0}","1.0","{93.92500305175781}","1.0","{album|album}"
"musico_2975+spotify_39988","0.875","1.0","{2004-05-11T00:00|2004-05-11T00:00}","0.0","{[contemporary country]|[]}","1.0","{Homewrecker|Homewrecker}","1.0","{Here For The Party|Here For The Party}","1.0","{[gretchen wilson]|[gretchen wilson]}","1.0","{205.0}","1.0","{148.60800170898438}","1.0","{album|album}"
"deezer_15773+musico_1881+spotify_39151","0.8333333333333334","0.6666666666666666","{2010-06-21T00:00|2010-01-01T00:00|2010-01-01T00:00}","0.0","{[Pop]|[dance pop]|[]}","1.0","{Can't Be Tamed|Can't Be Tamed|Can't Be Tamed}","1.0","{Can't Be Tamed|Can't Be Tamed|Can't Be Tamed}","1.0","{[miley cyrus]|[miley cyrus]|[miley cyrus]}","1.0","{168.0|168.0}","1.0","{117.0999984741211|116.9800033569336}","1.0","{album|album|album}"
"deezer_16306+musico_2582+spotify_39695","0.8333333333333334","0.6666666666666666","{2006-05-05T00:00|2006-05-09T00:00|2006-05-09T00:00}","0.0","{[Alternative]|[alternative rock]|[]}","1.0","{Tell Me Baby|Tell Me Baby|Tell Me Baby}","1.0","{Stadium Arcadium|Stadium Arcadium|Stadium Arcadium}","1.0","{[red hot chili peppers]|[red hot chili peppers]|[red hot chili peppers]}","1.0","{247.0|247.0}","1.0","{108.0|107.95099639892578}","1.0","{album|album|album}"
"deezer_17817+musico_4570+spotify_41133","0.8333333333333333","1.0","{1993-06-18T00:00|1993-06-18T00:00|1993-06-18T00:00}","0.0","{[Alternative]|[alternative rock]|[]}","1.0","{She Don't Use Jelly|She Don't Use Jelly|She Don't Use Jelly}","0.6666666666666666","{Transmissions From the Satellite Heart|Transmissions From The Satellite Heart|Transmissions From the Satellite Heart}","1.0","{[the flaming lips]|[the flaming lips]|[the flaming lips]}","1.0","{222.0|222.0}","1.0","{173.0|173.8280029296875}","1.0","{album|album|album}"
"musico_1995+spotify_39245","0.875","1.0","{2009-01-01T00:00|2009-01-01T00:00}","0.0","{[contemporary country]|[]}","1.0","{Feel That Fire|Feel That Fire}","1.0","{Feel That Fire|Feel That Fire}","1.0","{[dierks bentley]|[dierks bentley]}","1.0","{201.0}","1.0","{179.8459930419922}","1.0","{album|album}"
"musico_3988+spotify_40689","0.875","1.0","{1998-09-17T00:00|1998-09-17T00:00}","0.0","{[canadian pop]|[]}","1.0","{We Can't Be Friends (with R.L.)|We Can't Be Friends (with R.L.)}","1.0","{One Wish|One Wish}","1.0","{[r.l., deborah cox]|[deborah cox]}","1.0","{281.0}","1.0","{119.91600036621094}","1.0","{album|album}"
"musico_3448+spotify_40334","0.875","1.0","{2002-04-08T00:00|2002-04-08T00:00}","0.0","{[alternative rock]|[]}","1.0","{Big Machine|Big Machine}","1.0","{Gutterflower|Gutterflower}","1.0","{[the goo goo dolls]|[the goo goo dolls]}","1.0","{189.0}","1.0","{108.83200073242188}","1.0","{album|album}"
"musico_4769+spotify_41292","0.875","1.0","{1993-01-01T00:00|1993-01-01T00:00}","0.0","{[reggae fusion]|[]}","1.0","{Higher Ground|Higher Ground}","1.0","{Promises And Lies|Promises And Lies}","1.0","{[ub40]|[ub40]}","1.0","{261.0}","1.0","{101.06700134277344}","1.0","{album|album}"
"musico_6992+spotify_43223","0.75","1.0","{1996-10-29T00:00|1996-10-29T00:00}","0.0","{[adult standards]|[]}","1.0","{Heartlight|Heartlight}","1.0","{In My Lifetime|In My Lifetime}","1.0","{[neil diamond]|[neil diamond]}","1.0","{264.0}","1.0","{119.76300048828125}","0.0","{album|compilation}"
"deezer_20094+musico_7041+spotify_31424","0.7083333333333333","0.6666666666666666","{2002-04-02T00:00|1981-01-01T00:00|1981-01-01T00:00}","0.0","{[Rock, Hard Rock]|[album rock]|[]}","1.0","{Waiting for a Girl like You|Waiting for a Girl like You|Waiting for a Girl like You}","1.0","{4 (Expanded)|4 (Expanded)|4 (Expanded)}","1.0","{[foreigner]|[foreigner]|[foreigner]}","1.0","{292.0|292.0}","0.0","{100.80000305175781|201.32699584960938}","1.0","{album|album|album}"
"musico_3786+spotify_40557","0.875","1.0","{2002-01-01T00:00|2002-01-01T00:00}","0.0","{[contemporary country]|[]}","1.0","{Back At One|Back At One}","1.0","{Greatest Hits|Greatest Hits}","1.0","{[mark wills]|[mark wills]}","1.0","{247.0}","1.0","{129.85699462890625}","1.0","{compilation|compilation}"
"musico_3937+spotify_21478","0.875","1.0","{2009-09-18T00:00|2009-09-18T00:00}","0.0","{[dance pop]|[]}","1.0","{Open Your Heart|Open Your Heart}","1.0","{Celebration (double disc version)|Celebration (double disc version)}","1.0","{[madonna]|[madonna]}","1.0","{229.0}","1.0","{113.23899841308594}","1.0","{compilation|compilation}"
"musico_8626+spotify_24583","0.875","1.0","{1974-01-01T00:00|1974-01-01T00:00}","0.0","{[europop]|[]}","1.0","{Waterloo|Waterloo}","1.0","{Waterloo|Waterloo}","1.0","{[abba]|[abba]}","1.0","{168.0}","1.0","{147.56399536132812}","1.0","{album|album}"
"musico_5392+spotify_41809","0.75","0.0","{1990-07-30T00:00|1990-07-31T00:00}","0.0","{[freestyle]|[]}","1.0","{Look Into My Eyes|Look Into My Eyes}","1.0","{Bad Of The Heart|Bad Of The Heart}","1.0","{[george lamond]|[george lamond]}","1.0","{314.0}","1.0","{118.08300018310547}","1.0","{album|album}"
"deezer_16751+musico_3337+spotify_40251","0.875","1.0","{2002-06-04T00:00|2002-06-04T00:00|2002-06-04T00:00}","0.0","{[Pop]|[canadian pop]|[]}","1.0","{Losing Grip|Losing Grip|Losing Grip}","1.0","{Let Go|Let Go|Let Go}","1.0","{[avril lavigne]|[avril lavigne]|[avril lavigne]}","1.0","{233.0|233.0}","1.0","{158.39999389648438|158.3679962158203}","1.0","{album|album|album}"
"musico_1342+spotify_12585","0.75","0.0","{2012-01-01T00:00|2012-11-13T00:00}","0.0","{[canadian contemporary r&b]|[]}","1.0","{Wicked Games|Wicked Games}","1.0","{Trilogy|Trilogy}","1.0","{[the weeknd]|[the weeknd]}","1.0","{323.0}","1.0","{114.0780029296875}","1.0","{album|album}"
"deezer_10374+musico_3497+spotify_40368","0.625","1.0","{2001-08-14T00:00|2001-08-14T00:00|2001-08-14T00:00}","0.0","{[R&B]|[dance pop]|[]}","0.0","{This Woman's Work (Remastered 2021)|This Woman's Work|This Woman's Work - Remastered 2021}","1.0","{Now|Now|Now}","1.0","{[maxwell]|[maxwell]|[maxwell]}","1.0","{240.0|240.0}","0.0","{0.0|113.31800079345703}","1.0","{album|album|album}"
"deezer_18962+deezer_23434+musico_9979+spotify_35332+spotify_982","0.74375","0.4","{2018-05-18T00:00|2016-06-03T00:00|1968-01-01T00:00|1968-01-01T00:00|1968-02-23T00:00}","0.4","{[R&B]|[Pop, R&B]|[classic soul]|[]|[]}","0.8","{(Sittin' On) the Dock of the Bay|(Sittin' On) the Dock of the Bay|(Sittin' On) the Dock of the Bay - Mono|(Sittin' On) the Dock of the Bay|(Sittin' On) the Dock of the Bay}","0.6","{Dock of the Bay Sessions|The Dock of the Bay (Mono)|The Dock of the Bay (Mono)|The Dock of the Bay (Mono)|The Dock of the Bay}","1.0","{[otis redding]|[otis redding]|[otis redding]|[otis redding]|[otis redding]}","1.0","{160.0|163.0|163.0|166.0}","0.75","{103.62000274658203|103.5999984741211|103.62100219726562|205.9810028076172}","1.0","{album|album|album|album|album}"
"deezer_9073+musico_2826+spotify_39878","0.8333333333333334","0.6666666666666666","{2004-11-22T00:00|2004-01-01T00:00|2004-11-22T00:00}","0.0","{[Pop]|[dance pop]|[]}","1.0","{What You Waiting For?|What You Waiting For?|What You Waiting For?}","1.0","{Love Angel Music Baby|Love Angel Music Baby|Love Angel Music Baby}","1.0","{[gwen stefani]|[gwen stefani]|[gwen stefani]}","1.0","{221.0|221.0}","1.0","{136.0|136.02699279785156}","1.0","{album|album|album}"
"deezer_14384+musico_231+spotify_20603+spotify_38034","0.8125","0.75","{2018-05-25T00:00|2018-05-25T00:00|2018-05-11T00:00|2018-05-25T00:00}","0.5","{[Pop]|[canadian pop]|[]|[]}","0.75","{In My Blood|In My Blood|In My Blood - Acoustic|In My Blood}","0.75","{Shawn Mendes|Shawn Mendes|In My Blood (Acoustic)|Shawn Mendes}","1.0","{[shawn mendes]|[shawn mendes]|[shawn mendes]|[shawn mendes]}","1.0","{211.0|212.0|211.0}","1.0","{140.14999389648438|139.7010040283203|140.02499389648438}","0.75","{album|album|single|album}"
"musico_3533+spotify_40391","0.875","1.0","{2001-01-01T00:00|2001-01-01T00:00}","0.0","{[australian pop]|[]}","1.0","{Wrong Impression|Wrong Impression}","1.0","{White Lilies Island|White Lilies Island}","1.0","{[natalie imbruglia]|[natalie imbruglia]}","1.0","{256.0}","1.0","{100.13700103759766}","1.0","{album|album}"
"musico_5099+spotify_41558","0.875","1.0","{1991-01-01T00:00|1991-01-01T00:00}","0.0","{[dance pop]|[]}","1.0","{Will You Marry Me?|Will You Marry Me?}","1.0","{Spellbound|Spellbound}","1.0","{[paula abdul]|[paula abdul]}","1.0","{264.0}","1.0","{149.7259979248047}","1.0","{album|album}"
"deezer_13100+spotify_24135","0.5","0.0","{2010-10-18T00:00|2004-07-12T00:00}","0.0","{[Rock]|[]}","0.0","{(I Can't Get No) Satisfaction (Original Single Mono Version)|(I Can't Get No) Satisfaction - (Original Single Mono Version)}","1.0","{Singles 1965-1967|Singles 1965-1967}","1.0","{[the rolling stones]|[the rolling stones]}","1.0","{223.0|222.0}","1.0","{136.39999389648438|136.27699279785156}","0.0","{album|compilation}"
"musico_4450+spotify_41032","0.875","1.0","{1995-02-28T00:00|1995-02-28T00:00}","0.0","{[alternative rock]|[]}","1.0","{Rosealia|Rosealia}","1.0","{Deluxe|Deluxe}","1.0","{[better than ezra]|[better than ezra]}","1.0","{278.0}","1.0","{120.9260025024414}","1.0","{album|album}"
"musico_4652+spotify_41199","0.875","1.0","{1993-10-12T00:00|1993-10-12T00:00}","0.0","{[girl group]|[]}","1.0","{None Of Your Business|None Of Your Business}","1.0","{Very Necessary|Very Necessary}","1.0","{[salt-n-pepa]|[salt-n-pepa]}","1.0","{213.0}","1.0","{197.88999938964844}","1.0","{album|album}"
"musico_6183+spotify_42508","0.875","1.0","{1985-08-13T00:00|1985-08-13T00:00}","0.0","{[new wave pop]|[]}","1.0","{Falling In Love (Uh-Oh)|Falling In Love (Uh-Oh)}","1.0","{Primitive Love|Primitive Love}","1.0","{[miami sound machine]|[miami sound machine]}","1.0","{233.0}","1.0","{108.99099731445312}","1.0","{album|album}"
"deezer_26484+musico_2101+spotify_39332","0.6666666666666666","0.6666666666666666","{2009-05-08T00:00|2009-03-30T00:00|2009-03-30T00:00}","0.0","{[Rap/Hip Hop]|[dance pop]|[]}","1.0","{Sugar (feat. Wynter)|Sugar (feat. Wynter)|Sugar (feat. Wynter)}","0.0","{Sugar (feat. Wynter)|R.O.O.T.S. (Route Of Overcoming The Struggle)|R.O.O.T.S. (Route of Overcoming the Struggle)}","1.0","{[flo rida, wynter gordon]|[wynter, flo rida]|[flo rida]}","1.0","{252.0|252.0}","1.0","{130.0|130.0030059814453}","0.6666666666666666","{single|album|album}"
"musico_5345+spotify_41766","0.875","1.0","{1990-11-05T00:00|1990-11-05T00:00}","0.0","{[album rock]|[]}","1.0","{You're Amazing|You're Amazing}","1.0","{Don't Explain|Don't Explain}","1.0","{[robert palmer]|[robert palmer]}","1.0","{230.0}","1.0","{144.95199584960938}","1.0","{album|album}"
"deezer_7977+musico_4099+spotify_40766","0.6666666666666666","0.6666666666666666","{2014-10-14T00:00|2014-10-10T00:00|2014-10-10T00:00}","0.0","{[Rap/Hip Hop]|[chicano rap]|[]}","1.0","{Throw Your Set in the Air|Throw Your Set in the Air|Throw Your Set in the Air}","1.0","{The Essential Cypress Hill|The Essential Cypress Hill|The Essential Cypress Hill}","1.0","{[cypress hill]|[cypress hill]|[cypress hill]}","1.0","{205.0|205.0}","0.0","{184.60000610351562|92.35600280761719}","0.6666666666666666","{album|compilation|compilation}"
"musico_4069+spotify_40746","0.875","1.0","{1998-01-21T00:00|1998-01-21T00:00}","0.0","{[country]|[]}","1.0","{How Do You Sleep At Night|How Do You Sleep At Night}","1.0","{When The Wrong One Loves You Right|When The Wrong One Loves You Right}","1.0","{[wade hayes]|[wade hayes]}","1.0","{205.0}","1.0","{123.99700164794922}","1.0","{album|album}"
"deezer_17023+spotify_453","0.625","0.0","{2022-10-07T00:00|2022-10-06T00:00}","0.0","{[Pop]|[]}","1.0","{Loser|Loser}","1.0","{CHARLIE|CHARLIE}","1.0","{[charlie puth]|[charlie puth]}","1.0","{204.0|204.0}","0.0","{0.0|102.00199890136719}","1.0","{album|album}"
"musico_5594+spotify_41983","0.875","1.0","{1989-01-10T00:00|1989-01-10T00:00}","0.0","{[new wave pop]|[]}","1.0","{Electric Youth|Electric Youth}","1.0","{Electric Youth|Electric Youth}","1.0","{[debbie gibson]|[debbie gibson]}","1.0","{298.0}","1.0","{128.6060028076172}","1.0","{album|album}"
"deezer_26196+musico_11056+spotify_33850","0.75","0.6666666666666666","{2003-03-03T00:00|2003-03-03T00:00|2003-02-04T00:00}","0.0","{[Rap/Hip Hop]|[dance pop]|[]}","1.0","{The Jump Off|The Jump Off|The Jump Off}","0.6666666666666666","{La Bella Mafia|La Bella Mafia|The Jump Off}","1.0","{[""lil kim""]|[""lil kim""]|[""lil kim""]}","1.0","{234.0|234.0}","1.0","{104.9000015258789|104.90699768066406}","0.6666666666666666","{album|album|single}"
"deezer_1994+musico_2660+spotify_26824","0.8333333333333334","0.6666666666666666","{2006-11-23T00:00|2006-01-01T00:00|2006-01-01T00:00}","0.0","{[Rap/Hip Hop]|[gangster rap]|[]}","1.0","{Wouldn't Get Far|Wouldn't Get Far|Wouldn't Get Far}","1.0","{Doctor's Advocate|Doctor's Advocate|Doctor's Advocate}","1.0","{[the game]|[the game]|[the game]}","1.0","{251.0|251.0}","1.0","{90.5|92.6050033569336}","1.0","{album|album|album}"
"musico_3687+spotify_40487","0.875","1.0","{1999-05-04T00:00|1999-05-04T00:00}","0.0","{[contemporary country]|[]}","1.0","{My Next Thirty Years|My Next Thirty Years}","1.0","{A Place In The Sun|A Place In The Sun}","1.0","{[tim mcgraw]|[tim mcgraw]}","1.0","{217.0}","1.0","{98.86599731445312}","1.0","{album|album}"
"musico_5641+spotify_42026","0.875","1.0","{1989-01-01T00:00|1989-01-01T00:00}","0.0","{[adult standards]|[]}","1.0","{What Am I Gonna Do (I'm so in Love with You)|What Am I Gonna Do (I'm so in Love with You)}","1.0","{Storyteller - The Complete Anthology: 1964 - 1990|Storyteller - The Complete Anthology: 1964 - 1990}","1.0","{[rod stewart]|[rod stewart]}","1.0","{259.0}","1.0","{124.447998046875}","1.0","{compilation|compilation}"
"musico_2484+spotify_25727+spotify_39622","0.875","1.0","{2007-01-01T00:00|2007-01-01T00:00|2007-01-01T00:00}","0.6666666666666666","{[atl hip hop]|[]|[]}","1.0","{Party Like A Rock Star|Party Like A Rock Star|Party Like A Rock Star}","0.6666666666666666","{Rockstar Mentality|Party Like A Rockstar|Rockstar Mentality}","1.0","{[shop boyz]|[shop boyz]|[shop boyz]}","1.0","{253.0|253.0}","1.0","{144.9980010986328|144.9720001220703}","0.6666666666666666","{album|single|album}"
"musico_5158+spotify_25307+spotify_41608","0.75","0.6666666666666666","{1991-04-26T00:00|1973-01-01T00:00|1991-04-26T00:00}","0.6666666666666666","{[funk]|[]|[]}","1.0","{Power of Love / Love Power|Power of Love / Love Power|Power of Love / Love Power}","0.6666666666666666","{Power Of Love|Love, Luther|Power Of Love}","1.0","{[luther vandross]|[luther vandross]|[luther vandross]}","1.0","{402.0|402.0}","0.0","{184.55099487304688|92.35700225830078}","1.0","{album|album|album}"
"deezer_16873+musico_3504+spotify_11542+spotify_25603","0.90625","1.0","{2001-10-01T00:00|2001-10-01T00:00|2001-10-01T00:00|2001-10-01T00:00}","0.5","{[Rock]|[australian dance]|[]|[]}","1.0","{Can't Get You out of My Head|Can't Get You out of My Head|Can't Get You out of My Head|Can't Get You out of My Head}","0.75","{Fever|Fever|Fever|Fever (Deluxe Edition)}","1.0","{[kylie minogue]|[kylie minogue]|[kylie minogue]|[kylie minogue]}","1.0","{230.0|230.0|230.0}","1.0","{126.0|126.00700378417969|126.00700378417969}","1.0","{album|album|album|album}"
"musico_1039+spotify_33979","0.875","1.0","{2014-10-14T00:00|2014-10-14T00:00}","0.0","{[alternative rock]|[]}","1.0","{I Won't Let You Down|I Won't Let You Down}","1.0","{Hungry Ghosts|Hungry Ghosts}","1.0","{[ok go]|[ok go]}","1.0","{222.0}","1.0","{113.98600006103516}","1.0","{album|album}"
